Output       : /shared/home/erg966/LosslessModelCompression/compression_results_zstd.jsonl
RESULTS dir  : /shared/home/erg966/LosslessModelCompression/RESULTS_2_30
Chunk size   : 128 MB
Workers      : 6
Algorithms   : ['raw_zstd', 'byte_transpose', 'semantic_sep', 'bitplane', 'gorilla_base', 'xor_delta', 'gorilla_xor_delta']
Zstd level   : 1
Total trials : 294

[  1/294]  FP32E8M23/Var0p1/raw_zstd                ratio=0.9256  c=   7.40s  elapsed=38s
[ 56/294]  BF16E8M7/Var0p025/byte_transpose          ratio=0.6846  c=   5.27s  elapsed=203s
[ 57/294]  BF16E8M7/Var0p25/byte_transpose          ratio=0.6848  c=   5.17s  elapsed=203s
[ 58/294]  BF16E8M7/Var0p05/byte_transpose          ratio=0.6830  c=   5.46s  elapsed=204s
[ 59/294]  BF16E8M7/Var0p1/byte_transpose          ratio=0.6849  c=   5.30s  elapsed=204s
[ 60/294]  BF16E8M7/Var0p5/byte_transpose          ratio=0.6835  c=   5.38s  elapsed=204s
[ 61/294]  FP8E4M3/Var0p01/byte_transpose          ratio=0.8018  c=   1.81s  elapsed=210s
[ 62/294]  FP8E4M3/Var0p025/byte_transpose          ratio=0.8017  c=   1.80s  elapsed=210s
[ 63/294]  FP8E4M3/Var0p05/byte_transpose          ratio=0.8017  c=   1.80s  elapsed=210s
[ 64/294]  FP8E4M3/Var0p1/byte_transpose          ratio=0.8017  c=   1.80s  elapsed=211s
[ 65/294]  FP8E4M3/Var0p25/byte_transpose          ratio=0.8017  c=   1.80s  elapsed=211s
[ 66/294]  FP8E4M3/Var0p5/byte_transpose          ratio=0.8017  c=   1.81s  elapsed=211s
[ 67/294]  FP8E5M2/Var0p025/byte_transpose          ratio=0.7140  c=   1.74s  elapsed=216s
[ 68/294]  FP8E5M2/Var0p01/byte_transpose          ratio=0.7140  c=   1.74s  elapsed=216s
[ 69/294]  FP8E5M2/Var0p05/byte_transpose          ratio=0.7140  c=   1.74s  elapsed=217s
[ 70/294]  FP8E5M2/Var0p1/byte_transpose          ratio=0.7140  c=   1.74s  elapsed=217s
[ 71/294]  FP8E5M2/Var0p25/byte_transpose          ratio=0.7140  c=   1.74s  elapsed=217s
[ 72/294]  FP8E5M2/Var0p5/byte_transpose          ratio=0.7140  c=   1.75s  elapsed=218s
[ 73/294]  MXFP4E2M1/Var0p01/byte_transpose          ratio=0.9406  c=   1.04s  elapsed=220s
[ 74/294]  MXFP4E2M1/Var0p025/byte_transpose          ratio=0.9572  c=   1.04s  elapsed=220s
[ 75/294]  MXFP4E2M1/Var0p05/byte_transpose          ratio=0.9428  c=   1.03s  elapsed=221s
[ 76/294]  MXFP4E2M1/Var0p1/byte_transpose          ratio=0.9572  c=   1.04s  elapsed=221s
[ 77/294]  MXFP4E2M1/Var0p25/byte_transpose          ratio=0.9514  c=   1.04s  elapsed=221s
[ 78/294]  MXFP4E2M1/Var0p5/byte_transpose          ratio=0.9484  c=   1.04s  elapsed=222s
[ 79/294]  NVFP4E2M1/Var0p025/byte_transpose          ratio=1.0000  c=   0.59s  elapsed=223s
[ 80/294]  NVFP4E2M1/Var0p01/byte_transpose          ratio=1.0000  c=   0.60s  elapsed=223s
[ 81/294]  NVFP4E2M1/Var0p05/byte_transpose          ratio=1.0000  c=   0.61s  elapsed=223s
[ 82/294]  NVFP4E2M1/Var0p1/byte_transpose          ratio=1.0000  c=   0.60s  elapsed=223s
[ 83/294]  NVFP4E2M1/Var0p25/byte_transpose          ratio=1.0000  c=   0.60s  elapsed=224s
[ 84/294]  NVFP4E2M1/Var0p5/byte_transpose          ratio=1.0000  c=   0.60s  elapsed=224s
[ 85/294]  FP32E8M23/Var0p025/semantic_sep            ratio=0.8451  c=   8.20s  elapsed=319s
[ 86/294]  FP32E8M23/Var0p05/semantic_sep            ratio=0.8455  c=   8.17s  elapsed=320s
[ 87/294]  FP32E8M23/Var0p01/semantic_sep            ratio=0.8456  c=   8.19s  elapsed=320s
[ 88/294]  FP32E8M23/Var0p1/semantic_sep            ratio=0.8451  c=   8.22s  elapsed=320s
[ 89/294]  FP32E8M23/Var0p25/semantic_sep            ratio=0.8453  c=   8.19s  elapsed=320s
[ 90/294]  FP32E8M23/Var0p5/semantic_sep            ratio=0.8452  c=   8.21s  elapsed=322s
[ 91/294]  FP16E5M10/Var0p01/semantic_sep            ratio=0.6312  c=   8.18s  elapsed=376s
[ 92/294]  FP16E5M10/Var0p025/semantic_sep            ratio=0.6306  c=   8.15s  elapsed=376s
[ 93/294]  FP16E5M10/Var0p05/semantic_sep            ratio=0.6312  c=   8.19s  elapsed=377s
[ 94/294]  FP16E5M10/Var0p1/semantic_sep            ratio=0.6306  c=   8.14s  elapsed=377s
[ 95/294]  FP16E5M10/Var0p25/semantic_sep            ratio=0.6310  c=   8.14s  elapsed=377s
[ 96/294]  FP16E5M10/Var0p5/semantic_sep            ratio=0.6309  c=   8.17s  elapsed=379s
[ 97/294]  BF16E8M7/Var0p01/semantic_sep            ratio=0.6414  c=   6.44s  elapsed=425s
[ 98/294]  BF16E8M7/Var0p025/semantic_sep            ratio=0.6405  c=   6.43s  elapsed=425s
[ 99/294]  BF16E8M7/Var0p05/semantic_sep            ratio=0.6413  c=   6.47s  elapsed=426s
[100/294]  BF16E8M7/Var0p1/semantic_sep            ratio=0.6405  c=   6.42s  elapsed=426s
[101/294]  BF16E8M7/Var0p25/semantic_sep            ratio=0.6409  c=   6.43s  elapsed=426s
[102/294]  BF16E8M7/Var0p5/semantic_sep            ratio=0.6407  c=   6.45s  elapsed=429s
[103/294]  FP8E4M3/Var0p01/semantic_sep            ratio=0.4118  c=   8.03s  elapsed=466s
[104/294]  FP8E4M3/Var0p025/semantic_sep            ratio=0.4118  c=   8.05s  elapsed=466s
[105/294]  FP8E4M3/Var0p05/semantic_sep            ratio=0.4118  c=   8.04s  elapsed=467s
[106/294]  FP8E4M3/Var0p1/semantic_sep            ratio=0.4118  c=   8.06s  elapsed=468s
[107/294]  FP8E4M3/Var0p25/semantic_sep            ratio=0.4118  c=   8.06s  elapsed=468s
[108/294]  FP8E4M3/Var0p5/semantic_sep            ratio=0.4118  c=   8.05s  elapsed=470s
[109/294]  FP8E5M2/Var0p01/semantic_sep            ratio=0.3790  c=   9.24s  elapsed=510s
[110/294]  FP8E5M2/Var0p025/semantic_sep            ratio=0.3790  c=   9.25s  elapsed=511s
[111/294]  FP8E5M2/Var0p05/semantic_sep            ratio=0.3790  c=   9.24s  elapsed=512s
[112/294]  FP8E5M2/Var0p25/semantic_sep            ratio=0.3790  c=   9.25s  elapsed=512s
[113/294]  FP8E5M2/Var0p1/semantic_sep            ratio=0.3790  c=   9.24s  elapsed=512s
[114/294]  FP8E5M2/Var0p5/semantic_sep            ratio=0.3790  c=   9.24s  elapsed=515s
[115/294]  MXFP4E2M1/Var0p01/semantic_sep            ratio=0.4372  c=   4.31s  elapsed=536s
[116/294]  MXFP4E2M1/Var0p025/semantic_sep            ratio=0.4407  c=   4.23s  elapsed=536s
[117/294]  MXFP4E2M1/Var0p05/semantic_sep            ratio=0.4372  c=   4.25s  elapsed=538s
[118/294]  MXFP4E2M1/Var0p25/semantic_sep            ratio=0.4387  c=   4.18s  elapsed=538s
[119/294]  MXFP4E2M1/Var0p1/semantic_sep            ratio=0.4407  c=   4.21s  elapsed=538s
[120/294]  MXFP4E2M1/Var0p5/semantic_sep            ratio=0.4391  c=   4.31s  elapsed=541s
[121/294]  NVFP4E2M1/Var0p025/semantic_sep            ratio=0.4479  c=   3.83s  elapsed=563s
[122/294]  NVFP4E2M1/Var0p01/semantic_sep            ratio=0.4479  c=   3.87s  elapsed=563s
[123/294]  NVFP4E2M1/Var0p1/semantic_sep            ratio=0.4479  c=   3.82s  elapsed=565s
[124/294]  NVFP4E2M1/Var0p25/semantic_sep            ratio=0.4479  c=   3.85s  elapsed=565s
[125/294]  NVFP4E2M1/Var0p05/semantic_sep            ratio=0.4479  c=   3.86s  elapsed=565s
[126/294]  NVFP4E2M1/Var0p5/semantic_sep            ratio=0.4479  c=   3.86s  elapsed=568s
[127/294]  FP32E8M23/Var0p01/bitplane                ratio=0.8514  c=   2.61s  elapsed=4119s
[128/294]  FP32E8M23/Var0p1/bitplane                ratio=0.8468  c=   2.68s  elapsed=4140s
[129/294]  FP32E8M23/Var0p05/bitplane                ratio=0.8513  c=   2.71s  elapsed=4146s
[130/294]  FP32E8M23/Var0p25/bitplane                ratio=0.8420  c=   2.54s  elapsed=4159s
[131/294]  FP32E8M23/Var0p025/bitplane                ratio=0.8551  c=   2.65s  elapsed=4170s
[132/294]  FP32E8M23/Var0p5/bitplane                ratio=0.8471  c=   3.61s  elapsed=4194s
[133/294]  FP16E5M10/Var0p01/bitplane                ratio=0.8887  c=   1.79s  elapsed=4673s
[134/294]  FP16E5M10/Var0p025/bitplane                ratio=0.8952  c=   1.75s  elapsed=4696s
[135/294]  FP16E5M10/Var0p05/bitplane                ratio=0.8872  c=   1.80s  elapsed=4703s
[136/294]  FP16E5M10/Var0p1/bitplane                ratio=0.8780  c=   1.76s  elapsed=4719s
[137/294]  FP16E5M10/Var0p25/bitplane                ratio=0.8677  c=   1.69s  elapsed=4739s
[138/294]  FP16E5M10/Var0p5/bitplane                ratio=0.8646  c=   1.98s  elapsed=4759s
[139/294]  BF16E8M7/Var0p01/bitplane                ratio=0.7030  c=   1.77s  elapsed=5226s
[140/294]  BF16E8M7/Var0p025/bitplane                ratio=0.7101  c=   1.77s  elapsed=5252s
[141/294]  BF16E8M7/Var0p05/bitplane                ratio=0.7026  c=   1.85s  elapsed=5261s
[142/294]  BF16E8M7/Var0p1/bitplane                ratio=0.6937  c=   1.82s  elapsed=5279s
[143/294]  BF16E8M7/Var0p25/bitplane                ratio=0.6839  c=   1.75s  elapsed=5308s
